directory,filename,units,unit_types
D:\SubRet_recordings_imaging\LSubRet1\recording\small sq_habituation\23082017,23082017_LSubRet1_smallsq_d4_1.set,['TT6_U1'],['Non-Spatial']
D:\SubRet_recordings_imaging\LSubRet3\recording\big sq\05092017_bigsq,05092017_LSubRet3_bigsq_d2_1.set,"['TT3_U1', 'TT5_U1', 'TT5_U3']","['Non-Spatial', 'Non-Spatial', 'Non-Spatial']"
D:\SubRet_recordings_imaging\LSubRet3\recording\big sq\08092017,08092017_LSubRet3_bigsq_d3_1.set,['TT5_U2'],['Non-Spatial']
D:\SubRet_recordings_imaging\LSubRet3\recording\move spatial cues\S1_hab1,10102017_LSubRet3_spacue_1_1.set,['TT4_U1'],['Non-Spatial']
D:\SubRet_recordings_imaging\LSubRet3\recording\big sq\12092017,12092017_LSubRet3_bigsq_d4_1.set,"['TT3_U1', 'TT5_U1', 'TT5_U2']","['Non-Spatial', 'Non-Spatial', 'Non-Spatial']"
D:\SubRet_recordings_imaging\LSubRet3\recording\big sq\14092017,14092017_LSubRet3_bigsq_d5_1.set,['TT3_U1'],['Non-Spatial']
D:\SubRet_recordings_imaging\LSubRet3\recording\small sq_habituation\23082017,23082017_LSubRet3_smallsq_d2_1.set,['TT4_U1'],['Non-Spatial']
D:\SubRet_recordings_imaging\LSubRet5\recording\Small sq up_small sq down\01122017\S1_small sq up,01122017_smallsqdownup_up_1_1.set,['TT3_U1'],['Non-Spatial']
D:\SubRet_recordings_imaging\LSubRet5\recording\small sq_screen\21112017,ab112017_LSubRet5_smallsq_screen_3.set,"['TT3_U1', 'TT3_U2']","['Non-Spatial', 'Non-Spatial']"
D:\SubRet_recordings_imaging\LSubRet5\recording\small sq_screen\23112017,23112017_LSubRet5_smallsq_screen_6.set,['TT8_U1'],"['Non-Spatial', 'Non-Spatial']"
D:\SubRet_recordings_imaging\LSubRet5\recording\small sq_screen\26112017,26112017_LSubRet5_smallsq_screen_7.set,['TT4_U1'],['Non-Spatial']
D:\SubRet_recordings_imaging\LSubRet5\recording\big sq_one wall_2wall\27112017\27112017,27112017_LSR5_bigsq_1_1.set,"['TT3_U1', 'TT4_U1']","['Non-Spatial', 'Non-Spatial']"
